id,city,latitude,longitude,crime_type,threat_level,date
HOT-00037,Hyderabad,17.47719,78.528642,murder,critical,2024-03-17
HOT-00038,Chennai,13.152678,80.178341,drug_trafficking,high,2024-11-15
HOT-00039,Pune,18.474234,73.814081,burglary,medium,2025-08-19
HOT-00040,Jaipur,27.046008,75.731393,extortion,medium,2024-01-31
HOT-00041,Mumbai,19.055573,72.910779,kidnapping,high,2024-03-01
HOT-00042,Bengaluru,12.997725,77.682931,kidnapping,high,2024-03-04
HOT-00043,Chennai,12.992271,80.274364,crime_against_women,high,2025-09-16
HOT-00044,Mumbai,19.065149,72.893486,cybercrime,medium,2025-09-04
HOT-00045,Delhi,28.747506,77.065436,robbery,high,2024-10-04
HOT-00046,Mumbai,19.1225,72.913331,dacoity,high,2024-12-24
HOT-00047,Pune,18.434052,73.868938,dacoity,high,2024-01-22
HOT-00048,Mumbai,19.162055,72.892081,dacoity,high,2025-07-01
HOT-00049,Pune,18.486466,73.782242,drug_trafficking,high,2025-05-08
HOT-00050,Mumbai,19.039073,72.90939,robbery,high,2025-03-16
HOT-00051,Pune,18.496809,73.849109,burglary,medium,2025-09-22
HOT-00052,Hyderabad,17.357641,78.52348,theft,low,2024-08-31
HOT-00053,Chennai,13.088652,80.274583,cybercrime,medium,2025-07-03
HOT-00054,Mumbai,19.084649,72.877207,rioting,medium,2024-09-12
HOT-00055,Mumbai,19.099071,72.889751,robbery,high,2024-10-16
HOT-00056,Mumbai,19.049372,72.940172,dacoity,high,2024-10-26
HOT-00057,Bengaluru,12.926753,77.559303,burglary,medium,2024-03-19
HOT-00058,Delhi,28.704022,77.165129,cheating_fraud,medium,2024-12-31
HOT-00059,Chennai,13.042884,80.285448,kidnapping,high,2025-07-18
HOT-00060,Kolkata,22.598036,88.33646,murder,critical,2024-11-22
HOT-00061,Delhi,28.805375,77.138242,rioting,medium,2025-09-28
HOT-00062,Jaipur,26.906124,75.820445,robbery,high,2025-06-17
HOT-00063,Chennai,13.061231,80.330405,burglary,medium,2025-01-16
HOT-00064,Bengaluru,13.007281,77.60278,cheating_fraud,medium,2025-04-09
HOT-00065,Delhi,28.798378,77.115187,murder,critical,2024-10-11
HOT-00066,Pune,18.480056,73.979778,theft,low,2024-10-12
HOT-00067,Pune,18.42079,73.859606,cybercrime,medium,2025-03-30
HOT-00068,Mumbai,19.083806,72.925906,extortion,medium,2025-03-17
HOT-00069,Mumbai,19.06927,72.867035,kidnapping,high,2024-01-27
HOT-00070,Hyderabad,17.481471,78.435775,crime_against_women,high,2024-08-09
HOT-00071,Mumbai,19.025158,72.956773,cybercrime,medium,2025-03-13
HOT-00072,Mumbai,19.098399,72.818307,rioting,medium,2024-10-21
HOT-00073,Jaipur,26.84166,75.823998,drug_trafficking,high,2024-09-23
HOT-00074,Bengaluru,13.025982,77.580748,dacoity,high,2024-05-15
HOT-00075,Mumbai,19.061479,72.952044,murder,critical,2024-03-28
HOT-00076,Chennai,13.088298,80.229199,crime_against_women,high,2025-02-08
HOT-00077,Mumbai,19.040569,72.846246,extortion,medium,2024-09-13
HOT-00078,Mumbai,19.122035,72.923335,kidnapping,high,2024-09-27
HOT-00079,Bengaluru,12.962844,77.597827,theft,low,2025-04-22
HOT-00080,Mumbai,19.131889,72.865533,drug_trafficking,high,2024-08-11
HOT-00081,Pune,18.630681,73.899233,murder,critical,2025-09-16
HOT-00082,Hyderabad,17.436576,78.471114,murder,critical,2024-10-09
HOT-00083,Kolkata,22.590343,88.34478,extortion,medium,2024-06-27
HOT-00084,Bengaluru,13.022014,77.541745,dacoity,high,2024-04-27
HOT-00085,Mumbai,19.099862,72.932142,cheating_fraud,medium,2025-08-16
HOT-00086,Hyderabad,17.461739,78.507412,theft,low,2024-09-22
HOT-00087,Kolkata,22.668643,88.37366,kidnapping,high,2025-07-07
HOT-00088,Mumbai,19.038571,72.850298,burglary,medium,2025-06-03
HOT-00089,Jaipur,26.92761,75.800404,dacoity,high,2024-11-29
HOT-00090,Hyderabad,17.421054,78.420268,burglary,medium,2025-03-12
HOT-00091,Kolkata,22.600271,88.398698,kidnapping,high,2024-12-09
HOT-00092,Pune,18.559128,73.827581,murder,critical,2025-09-28
HOT-00093,Mumbai,19.084069,72.89047,robbery,high,2025-08-28
HOT-00094,Mumbai,19.10307,72.899035,kidnapping,high,2025-06-07
HOT-00095,Hyderabad,17.43036,78.468721,crime_against_women,high,2024-02-03
HOT-00096,Bengaluru,12.843173,77.713557,burglary,medium,2024-03-20
HOT-00097,Chennai,12.922266,80.200792,extortion,medium,2025-07-15
HOT-00098,Pune,18.495737,73.850538,drug_trafficking,high,2024-02-22
HOT-00099,Jaipur,26.879667,75.736291,kidnapping,high,2024-10-02
HOT-00100,Chennai,13.104124,80.234992,dacoity,high,2024-12-02
HOT-00101,Chennai,13.124438,80.139461,dacoity,high,2025-04-11
HOT-00102,Hyderabad,17.384718,78.461939,dacoity,high,2025-03-31
HOT-00103,Pune,18.49029,73.892233,drug_trafficking,high,2024-03-19
HOT-00104,Hyderabad,17.346093,78.430723,cheating_fraud,medium,2025-03-04
HOT-00105,Chennai,12.997819,80.231186,robbery,high,2025-07-04
HOT-00106,Chennai,13.091164,80.220238,crime_against_women,high,2024-05-21
HOT-00107,Kolkata,22.585589,88.320073,burglary,medium,2024-03-24
HOT-00108,Pune,18.394657,73.924779,crime_against_women,high,2025-05-21
HOT-00109,Chennai,13.165369,80.210536,theft,low,2024-06-19
HOT-00110,Delhi,28.629833,77.144168,rioting,medium,2025-04-26
HOT-00111,Delhi,28.713328,77.111891,cybercrime,medium,2024-01-25
HOT-00112,Bengaluru,12.998192,77.592916,drug_trafficking,high,2025-02-01
HOT-00113,Pune,18.489467,73.896907,drug_trafficking,high,2024-09-04
HOT-00114,Kolkata,22.650828,88.436469,kidnapping,high,2025-08-28
HOT-00115,Delhi,28.719304,77.101939,rioting,medium,2024-12-29
HOT-00116,Jaipur,26.972158,75.74973,rioting,medium,2025-03-22
HOT-00117,Kolkata,22.576333,88.28639,rioting,medium,2024-07-06
HOT-00118,Delhi,28.707702,77.107608,crime_against_women,high,2025-01-13
HOT-00119,Jaipur,26.87338,75.824232,drug_trafficking,high,2025-08-25
HOT-00120,Kolkata,22.593829,88.356222,murder,critical,2025-05-20
HOT-00121,Hyderabad,17.442622,78.50474,drug_trafficking,high,2025-08-16
HOT-00122,Pune,18.509584,73.904722,robbery,high,2024-05-26
HOT-00123,Mumbai,19.107869,72.80275,rioting,medium,2024-08-03
HOT-00124,Pune,18.455451,73.848853,crime_against_women,high,2024-11-17
HOT-00125,Delhi,28.686824,77.127132,murder,critical,2024-10-07
HOT-00126,Jaipur,26.815907,75.826266,murder,critical,2024-09-22
HOT-00127,Delhi,28.770013,77.068662,robbery,high,2024-04-08
HOT-00128,Chennai,13.026262,80.25151,robbery,high,2024-01-29
HOT-00129,Mumbai,19.136325,72.862153,dacoity,high,2024-01-07
HOT-00130,Jaipur,26.918062,75.777374,dacoity,high,2024-10-15
HOT-00131,Pune,18.513588,73.796428,cheating_fraud,medium,2024-10-29
HOT-00132,Delhi,28.680496,76.992861,burglary,medium,2025-03-31
HOT-00133,Pune,18.499104,73.857603,robbery,high,2024-10-12
HOT-00134,Delhi,28.792549,77.084727,rioting,medium,2024-08-15
HOT-00135,Delhi,28.676399,77.155126,murder,critical,2025-04-09
HOT-00136,Delhi,28.692446,77.060614,theft,low,2025-03-19
HOT-00137,Delhi,28.785098,77.065847,kidnapping,high,2024-07-13
HOT-00138,Mumbai,19.142697,72.855649,dacoity,high,2024-05-20
HOT-00139,Pune,18.54488,73.831316,dacoity,high,2024-09-28
HOT-00140,Jaipur,26.965622,75.861959,rioting,medium,2025-05-23
HOT-00141,Kolkata,22.620594,88.416176,burglary,medium,2025-06-12
HOT-00142,Chennai,13.101355,80.271075,drug_trafficking,high,2025-09-17
HOT-00143,Chennai,13.0792,80.257073,rioting,medium,2024-09-26
HOT-00144,Pune,18.495537,73.829879,kidnapping,high,2025-05-10
HOT-00145,Bengaluru,13.040586,77.528075,murder,critical,2025-05-11
HOT-00146,Jaipur,26.926845,75.739541,kidnapping,high,2025-07-10
HOT-00147,Jaipur,26.902505,75.821028,murder,critical,2025-03-05
HOT-00148,Jaipur,26.878783,75.852872,burglary,medium,2024-06-29
HOT-00149,Jaipur,26.983154,75.767377,kidnapping,high,2025-02-11
HOT-00150,Bengaluru,12.980124,77.53774,cheating_fraud,medium,2025-09-07
HOT-00151,Pune,18.515741,73.845509,murder,critical,2025-06-03
HOT-00152,Chennai,13.149961,80.214922,theft,low,2025-07-29
HOT-00153,Hyderabad,17.381815,78.530297,cybercrime,medium,2025-03-28
HOT-00154,Pune,18.431681,73.92229,murder,critical,2025-05-12
HOT-00155,Chennai,13.033281,80.348744,murder,critical,2025-04-03
HOT-00156,Pune,18.538703,73.957135,drug_trafficking,high,2024-07-30
HOT-00157,Delhi,28.769361,77.080329,kidnapping,high,2024-05-12
HOT-00158,Mumbai,19.08583,72.874525,cybercrime,medium,2024-04-02
HOT-00159,Hyderabad,17.457675,78.441994,drug_trafficking,high,2024-03-05
HOT-00160,Mumbai,19.028914,72.872157,dacoity,high,2024-06-09
HOT-00161,Pune,18.543356,73.828852,robbery,high,2025-01-17
HOT-00162,Hyderabad,17.330717,78.519546,dacoity,high,2024-01-14
HOT-00163,Mumbai,19.123354,72.808472,drug_trafficking,high,2024-04-14
HOT-00164,Pune,18.524175,73.842495,murder,critical,2024-11-04
HOT-00165,Mumbai,19.08678,72.963052,dacoity,high,2024-02-04
HOT-00166,Kolkata,22.572551,88.272341,cybercrime,medium,2025-02-14
HOT-00167,Bengaluru,13.014158,77.501588,burglary,medium,2024-03-19
HOT-00168,Delhi,28.626167,77.100291,rioting,medium,2025-03-01
HOT-00169,Mumbai,19.169762,72.88641,crime_against_women,high,2024-06-04
HOT-00170,Delhi,28.696238,77.014159,dacoity,high,2025-09-12
HOT-00171,Kolkata,22.584004,88.312537,rioting,medium,2024-01-24
HOT-00172,Kolkata,22.567534,88.397168,murder,critical,2025-08-13
HOT-00173,Jaipur,26.87457,75.824386,dacoity,high,2025-02-20
HOT-00174,Kolkata,22.464056,88.375297,drug_trafficking,high,2025-06-02
HOT-00175,Chennai,12.966002,80.37701,rioting,medium,2025-02-07
HOT-00176,Hyderabad,17.391312,78.407775,cheating_fraud,medium,2024-08-17
HOT-00177,Mumbai,19.04696,72.899547,kidnapping,high,2025-05-03
HOT-00178,Delhi,28.676065,77.067363,extortion,medium,2024-03-26
HOT-00179,Delhi,28.672449,77.089764,cheating_fraud,medium,2025-08-30
HOT-00180,Chennai,13.126607,80.296254,cheating_fraud,medium,2025-06-19
HOT-00181,Chennai,13.13706,80.291802,cybercrime,medium,2024-11-14
HOT-00182,Hyderabad,17.391892,78.474933,rioting,medium,2025-08-01
HOT-00183,Pune,18.547702,73.828144,dacoity,high,2025-07-29
HOT-00184,Jaipur,26.870838,75.775058,extortion,medium,2024-08-29
HOT-00185,Hyderabad,17.32925,78.500503,drug_trafficking,high,2024-03-24
HOT-00186,Delhi,28.686165,77.111539,robbery,high,2024-01-14
HOT-00187,Bengaluru,12.946352,77.59142,dacoity,high,2025-03-24
HOT-00188,Delhi,28.75506,77.115265,robbery,high,2025-06-21
HOT-00189,Jaipur,26.977364,75.865693,cybercrime,medium,2025-02-12
HOT-00190,Mumbai,19.060519,72.928878,murder,critical,2024-10-04
HOT-00191,Hyderabad,17.348866,78.454803,extortion,medium,2024-06-18
HOT-00192,Bengaluru,12.952608,77.668191,crime_against_women,high,2025-01-15
HOT-00193,Kolkata,22.538739,88.369895,kidnapping,high,2024-05-18
HOT-00194,Bengaluru,12.878667,77.580253,theft,low,2024-11-21
HOT-00195,Pune,18.544655,73.9076,theft,low,2024-11-15
HOT-00196,Chennai,13.089657,80.29178,cheating_fraud,medium,2024-12-04
HOT-00197,Delhi,28.756238,77.123564,robbery,high,2024-03-09
HOT-00198,Hyderabad,17.317116,78.408378,kidnapping,high,2024-01-15
HOT-00199,Chennai,13.068438,80.362306,cybercrime,medium,2025-08-21
HOT-00200,Kolkata,22.515253,88.427103,murder,critical,2025-07-28
HOT-00201,Chennai,13.108115,80.284152,rioting,medium,2024-08-09
HOT-00202,Kolkata,22.600629,88.421874,robbery,high,2025-06-18
HOT-00203,Pune,18.478906,73.931998,crime_against_women,high,2025-09-11
HOT-00204,Kolkata,22.652563,88.346899,crime_against_women,high,2025-04-29
HOT-00205,Chennai,13.125742,80.346825,dacoity,high,2024-04-03
HOT-00206,Bengaluru,13.006881,77.639114,theft,low,2024-11-27
HOT-00207,Delhi,28.717095,77.092544,drug_trafficking,high,2025-03-26
HOT-00208,Pune,18.497707,73.818415,drug_trafficking,high,2024-04-30
HOT-00209,Chennai,13.037466,80.252743,cybercrime,medium,2025-04-30
HOT-00210,Hyderabad,17.362013,78.542933,drug_trafficking,high,2024-03-21
HOT-00211,Chennai,13.198597,80.237313,murder,critical,2024-05-26
HOT-00212,Pune,18.466509,73.835173,murder,critical,2024-05-03
HOT-00213,Pune,18.502333,73.831132,kidnapping,high,2025-04-22
HOT-00214,Hyderabad,17.380328,78.452338,drug_trafficking,high,2024-07-14
HOT-00215,Pune,18.438563,73.939358,theft,low,2024-07-19
HOT-00216,Jaipur,26.891257,75.812536,crime_against_women,high,2024-11-13
HOT-00217,Hyderabad,17.424826,78.513441,murder,critical,2025-05-29
HOT-00218,Mumbai,19.065772,72.869582,murder,critical,2025-05-05
HOT-00219,Pune,18.594589,73.877708,murder,critical,2024-10-07
HOT-00220,Mumbai,19.167572,72.860911,rioting,medium,2025-04-27
HOT-00221,Jaipur,26.855874,75.790749,extortion,medium,2025-07-12
HOT-00222,Delhi,28.715849,77.105375,rioting,medium,2024-06-05
HOT-00223,Bengaluru,12.989897,77.575338,cybercrime,medium,2024-05-02
HOT-00224,Mumbai,19.002193,72.905125,kidnapping,high,2024-04-09
HOT-00225,Kolkata,22.605277,88.36048,crime_against_women,high,2024-01-18
HOT-00226,Hyderabad,17.435613,78.403843,kidnapping,high,2024-06-22
HOT-00227,Hyderabad,17.266829,78.474525,cybercrime,medium,2025-03-02
HOT-00228,Mumbai,19.161693,72.914754,drug_trafficking,high,2024-05-31
HOT-00229,Kolkata,22.619365,88.391149,murder,critical,2025-09-15
HOT-00230,Chennai,13.063431,80.223155,extortion,medium,2024-01-04
HOT-00231,Kolkata,22.565688,88.40985,kidnapping,high,2025-04-22
HOT-00232,Delhi,28.653096,77.079974,burglary,medium,2024-04-02
HOT-00233,Bengaluru,12.967494,77.562819,crime_against_women,high,2024-01-21
HOT-00234,Bengaluru,12.98004,77.560611,kidnapping,high,2025-04-16
HOT-00235,Delhi,28.78995,77.018989,murder,critical,2024-07-14
HOT-00236,Bengaluru,12.953485,77.639948,murder,critical,2024-07-01
HOT-00237,Kolkata,22.600263,88.397521,dacoity,high,2024-07-11
HOT-00238,Kolkata,22.595832,88.343044,murder,critical,2024-09-22
HOT-00239,Jaipur,26.907106,75.845072,crime_against_women,high,2025-01-07
HOT-00240,Hyderabad,17.393524,78.426459,extortion,medium,2024-06-23
HOT-00241,Mumbai,19.139043,72.857069,robbery,high,2025-07-04
HOT-00242,Chennai,13.135993,80.268608,extortion,medium,2024-10-22
HOT-00243,Chennai,13.010734,80.380737,drug_trafficking,high,2024-10-02
HOT-00244,Delhi,28.669822,77.099635,dacoity,high,2025-04-23
HOT-00245,Kolkata,22.596868,88.368759,extortion,medium,2024-07-09
HOT-00246,Jaipur,26.954834,75.838473,kidnapping,high,2025-07-31
HOT-00247,Pune,18.461782,73.766472,kidnapping,high,2024-04-17
HOT-00248,Hyderabad,17.389291,78.482092,cybercrime,medium,2025-05-01
HOT-00249,Hyderabad,17.32905,78.579078,robbery,high,2025-01-01
HOT-00250,Kolkata,22.605384,88.417585,theft,low,2025-03-25
HOT-00251,Jaipur,26.84833,75.744592,rioting,medium,2025-02-12
HOT-00252,Jaipur,26.931634,75.754351,kidnapping,high,2025-09-07
HOT-00253,Hyderabad,17.33467,78.492238,theft,low,2024-08-27
HOT-00254,Delhi,28.62827,77.143578,crime_against_women,high,2025-02-14
HOT-00255,Mumbai,19.091514,72.90357,murder,critical,2025-09-03
HOT-00256,Chennai,13.144495,80.251261,robbery,high,2024-05-13
HOT-00257,Hyderabad,17.38899,78.470557,burglary,medium,2024-11-12
HOT-00258,Bengaluru,12.989212,77.542075,robbery,high,2025-04-16
HOT-00259,Mumbai,19.057836,72.849623,robbery,high,2024-11-04
HOT-00260,Kolkata,22.604722,88.381658,dacoity,high,2025-03-23
HOT-00261,Delhi,28.699419,77.07395,drug_trafficking,high,2025-01-18
HOT-00262,Mumbai,19.030493,72.884222,cheating_fraud,medium,2025-07-17
HOT-00263,Pune,18.485464,73.751919,extortion,medium,2025-01-20
HOT-00264,Jaipur,26.889355,75.705639,burglary,medium,2025-01-31
HOT-00265,Bengaluru,12.922883,77.700966,cybercrime,medium,2024-11-30
HOT-00266,Kolkata,22.606972,88.290605,cybercrime,medium,2025-09-03
HOT-00267,Pune,18.475306,73.846883,extortion,medium,2025-08-23
HOT-00268,Mumbai,19.088115,72.945097,dacoity,high,2025-01-12
HOT-00269,Hyderabad,17.335196,78.565341,crime_against_women,high,2025-09-05
HOT-00270,Pune,18.582292,73.81988,robbery,high,2025-05-26
HOT-00271,Chennai,13.123466,80.282335,burglary,medium,2024-12-13
HOT-00272,Pune,18.49054,73.813324,murder,critical,2024-11-14
HOT-00273,Pune,18.494503,73.805658,murder,critical,2025-03-07
HOT-00274,Bengaluru,13.010741,77.659422,burglary,medium,2025-04-21
HOT-00275,Delhi,28.657907,77.169303,extortion,medium,2025-02-18
HOT-00276,Mumbai,19.089942,72.899942,drug_trafficking,high,2025-01-28
HOT-00277,Jaipur,26.985035,75.792598,extortion,medium,2025-02-15
HOT-00278,Pune,18.526084,73.814602,murder,critical,2024-04-28
HOT-00279,Jaipur,26.825267,75.786171,rioting,medium,2024-12-09
HOT-00280,Hyderabad,17.408973,78.50696,cybercrime,medium,2025-06-28
HOT-00281,Pune,18.534408,73.841842,theft,low,2024-12-11
HOT-00282,Kolkata,22.602189,88.450522,rioting,medium,2025-04-10
HOT-00283,Pune,18.559197,73.868915,burglary,medium,2025-05-16
HOT-00284,Jaipur,26.842011,75.865044,extortion,medium,2025-01-13
HOT-00285,Kolkata,22.505657,88.397638,theft,low,2025-07-09
HOT-00286,Kolkata,22.592942,88.406248,theft,low,2025-04-02
HOT-00287,Hyderabad,17.381026,78.499566,burglary,medium,2024-12-31
HOT-00288,Mumbai,19.02674,72.867896,robbery,high,2024-03-27
HOT-00289,Delhi,28.723732,77.122394,cheating_fraud,medium,2025-03-17
HOT-00290,Kolkata,22.541382,88.409597,crime_against_women,high,2024-09-06
HOT-00291,Jaipur,26.955422,75.798531,theft,low,2024-05-30
HOT-00292,Delhi,28.600828,77.197169,burglary,medium,2024-12-11
HOT-00293,Kolkata,22.563197,88.368877,rioting,medium,2024-09-20
HOT-00294,Delhi,28.731764,77.056942,burglary,medium,2024-07-15
HOT-00295,Kolkata,22.641703,88.361693,drug_trafficking,high,2024-09-06
HOT-00296,Mumbai,19.03618,72.917904,cybercrime,medium,2024-10-08
HOT-00297,Bengaluru,12.959073,77.668141,crime_against_women,high,2025-02-12
HOT-00298,Bengaluru,12.954206,77.558692,cybercrime,medium,2024-07-31
HOT-00299,Mumbai,19.090635,72.806013,murder,critical,2024-09-30
HOT-00300,Jaipur,26.801522,75.707718,kidnapping,high,2024-04-09
HOT-00301,Chennai,13.095076,80.348283,dacoity,high,2024-03-06
HOT-00302,Kolkata,22.563224,88.295993,cheating_fraud,medium,2025-08-25
HOT-00303,Pune,18.490829,73.823254,cybercrime,medium,2025-05-02
HOT-00304,Mumbai,19.051804,72.914309,cheating_fraud,medium,2024-06-04
HOT-00305,Jaipur,26.948241,75.740707,drug_trafficking,high,2024-06-23
HOT-00306,Pune,18.519942,73.869498,crime_against_women,high,2024-03-21
HOT-00307,Jaipur,26.869754,75.770003,dacoity,high,2025-06-26
HOT-00308,Hyderabad,17.35724,78.565301,cheating_fraud,medium,2025-04-23
HOT-00309,Mumbai,19.112959,72.932751,crime_against_women,high,2024-12-26
HOT-00310,Pune,18.447056,73.899831,murder,critical,2025-07-23
HOT-00311,Jaipur,26.960799,75.784157,drug_trafficking,high,2024-05-14
HOT-00312,Pune,18.444291,73.796021,burglary,medium,2025-02-09
HOT-00313,Chennai,13.088529,80.2942,murder,critical,2024-07-01
HOT-00314,Bengaluru,12.986862,77.451199,cybercrime,medium,2025-07-17
HOT-00315,Pune,18.499444,73.884785,crime_against_women,high,2024-10-12
HOT-00316,Hyderabad,17.39406,78.416751,extortion,medium,2024-11-21
HOT-00317,Pune,18.528326,73.906944,cheating_fraud,medium,2024-10-20
HOT-00318,Jaipur,26.968488,75.872067,cybercrime,medium,2024-10-22
HOT-00319,Mumbai,19.03186,72.868511,cheating_fraud,medium,2024-06-25
HOT-00320,Delhi,28.650024,77.151177,cybercrime,medium,2025-02-24
HOT-00321,Chennai,13.037238,80.218199,robbery,high,2025-09-16
HOT-00322,Delhi,28.638313,77.054975,theft,low,2024-11-28
HOT-00323,Chennai,13.117818,80.331342,extortion,medium,2024-04-03
HOT-00324,Hyderabad,17.452121,78.496347,extortion,medium,2025-02-02
HOT-00325,Chennai,13.100183,80.246735,kidnapping,high,2024-09-02
HOT-00326,Bengaluru,12.893825,77.608341,dacoity,high,2024-11-26
HOT-00327,Bengaluru,12.943312,77.696788,dacoity,high,2025-08-14
HOT-00328,Jaipur,26.839019,75.806538,cheating_fraud,medium,2024-09-04
HOT-00329,Bengaluru,13.029631,77.584587,burglary,medium,2025-09-10
HOT-00330,Hyderabad,17.460958,78.407908,dacoity,high,2025-04-18
HOT-00331,Delhi,28.716905,77.103054,extortion,medium,2025-02-20
HOT-00332,Jaipur,26.924774,75.77275,cybercrime,medium,2024-09-23
HOT-00333,Delhi,28.689527,77.035739,drug_trafficking,high,2024-01-25
HOT-00334,Jaipur,26.832525,75.796979,murder,critical,2025-02-11
HOT-00335,Mumbai,19.024101,72.937795,drug_trafficking,high,2025-03-26
HOT-00336,Pune,18.525849,73.833956,murder,critical,2025-08-16
HOT-00337,Delhi,28.695737,77.055465,extortion,medium,2024-12-13
HOT-00338,Bengaluru,13.047701,77.548277,dacoity,high,2024-09-27
HOT-00339,Delhi,28.667034,77.169897,cheating_fraud,medium,2025-05-18
HOT-00340,Chennai,13.084707,80.224961,rioting,medium,2025-03-31
HOT-00341,Hyderabad,17.403042,78.411287,crime_against_women,high,2024-10-08
HOT-00342,Mumbai,19.078012,72.84947,murder,critical,2024-01-27
HOT-00343,Chennai,13.129681,80.226677,rioting,medium,2024-10-25
HOT-00344,Kolkata,22.600206,88.35392,extortion,medium,2024-11-08
HOT-00345,Jaipur,26.895206,75.714515,robbery,high,2024-05-11
HOT-00346,Bengaluru,12.894321,77.532728,murder,critical,2024-08-21
HOT-00347,Mumbai,19.115192,72.824407,robbery,high,2025-08-21
HOT-00348,Mumbai,19.071273,72.957468,rioting,medium,2025-06-13
HOT-00349,Pune,18.414222,73.872169,kidnapping,high,2024-06-08
HOT-00350,Hyderabad,17.3368,78.479581,cheating_fraud,medium,2024-06-22
HOT-00351,Jaipur,26.960581,75.882433,theft,low,2024-03-07
HOT-00352,Hyderabad,17.390356,78.520276,robbery,high,2024-10-11
HOT-00353,Delhi,28.676503,77.064518,cheating_fraud,medium,2025-08-06
HOT-00354,Mumbai,19.127789,72.796068,drug_trafficking,high,2024-08-21
HOT-00355,Chennai,13.074243,80.280469,extortion,medium,2024-04-11
HOT-00356,Hyderabad,17.345248,78.484846,drug_trafficking,high,2025-07-04
HOT-00357,Delhi,28.720779,77.099366,crime_against_women,high,2025-06-19
HOT-00358,Chennai,13.085678,80.359978,robbery,high,2024-09-07
HOT-00359,Chennai,13.062271,80.219443,theft,low,2025-09-15
HOT-00360,Kolkata,22.55187,88.356879,dacoity,high,2024-03-06
HOT-00361,Bengaluru,12.954058,77.592097,dacoity,high,2024-09-06
HOT-00362,Jaipur,26.851913,75.801112,theft,low,2024-11-22
HOT-00363,Delhi,28.712316,77.125979,burglary,medium,2025-05-02
HOT-00364,Chennai,13.136701,80.30987,crime_against_women,high,2025-05-13
HOT-00365,Kolkata,22.51275,88.336044,burglary,medium,2025-03-29
HOT-00366,Chennai,13.022516,80.233067,cheating_fraud,medium,2024-01-01
HOT-00367,Kolkata,22.574543,88.296116,cheating_fraud,medium,2024-06-29
HOT-00368,Hyderabad,17.324982,78.483948,extortion,medium,2024-11-02
HOT-00369,Kolkata,22.598025,88.335874,murder,critical,2025-07-28
HOT-00370,Kolkata,22.555511,88.346612,robbery,high,2025-05-14
HOT-00371,Mumbai,19.018985,73.000445,cheating_fraud,medium,2025-05-22
HOT-00372,Bengaluru,13.008168,77.670807,extortion,medium,2024-11-07
HOT-00373,Delhi,28.752357,77.078025,extortion,medium,2025-07-05
HOT-00374,Bengaluru,12.979925,77.617098,dacoity,high,2024-08-06
